source,target,link_type,article_id
Commuters,SMRT,PERSON,smrt_smrt_00003|smrt_smrt_00301|smrt_smrt_00323|smrt_smrt_00402|smrt_smrt_00404|smrt_smrt_00612|smrt_smrt_00702|smrt_smrt_00705|smrt_smrt_00706|smrt_smrt_00709|smrt_smrt_00729|smrt_smrt_00810|smrt_smrt_01038|smrt_smrt_01102|smrt_smrt_01108|smrt_smrt_01317
Commuters,Seah Moon Ming,PERSON,smrt_smrt_01102|smrt_smrt_01108
Commuters,Tanah Merah,PERSON,smrt_smrt_00808|smrt_smrt_00810
Commuters,The Straits Times,PERSON,smrt_smrt_00301|smrt_smrt_00323
Commuters,WeCare,PERSON,smrt_smrt_00709
Commuters,WeCare Shop,PERSON,smrt_smrt_00705
Deputy Chairman,Director,PERSON,smrt_smrt_00017
Deputy Chairman,Lee Fook Sun,PERSON,smrt_smrt_00017
Deputy Chairman,SMRT,PERSON,smrt_smrt_00017
Deputy Chairman,Seah Moon Ming,PERSON,smrt_smrt_00017
Deputy Chairman,William Tan Seng Koon,PERSON,smrt_smrt_00017
Desmond Kuek,IMDA,PERSON,smrt_smrt_01153
Desmond Kuek,Khaw,PERSON,smrt_smrt_01059
Desmond Kuek,Khaw Boon Wan,PERSON,smrt_smrt_01048|smrt_smrt_01128|smrt_smrt_01153
Desmond Kuek,LTA,PERSON,smrt_smrt_01153
Desmond Kuek,MP,PERSON,smrt_smrt_01153
Desmond Kuek,Ngien Hoon Ping,PERSON,smrt_smrt_01153
Desmond Kuek,PAP,PERSON,smrt_smrt_01153
Desmond Kuek,Parliament,PERSON,smrt_smrt_01048
Desmond Kuek,Pritam Singh,PERSON,smrt_smrt_01059
Desmond Kuek,SMRT,PERSON,smrt_smrt_01048|smrt_smrt_01059|smrt_smrt_01128|smrt_smrt_01153
Desmond Kuek,Seah Moon Ming,PERSON,smrt_smrt_01128|smrt_smrt_01153
Director,Lee Fook Sun,PERSON,smrt_smrt_00017
Director,SMRT,PERSON,smrt_smrt_00017
Director,Seah Moon Ming,PERSON,smrt_smrt_00017
Director,William Tan Seng Koon,PERSON,smrt_smrt_00017
Downtown Line,Partygoers,PERSON,smrt_smrt_01110
Downtown Line,SBS Transit,ORGANIZATION,smrt_smrt_01110
Downtown Line,SMRT,ORGANIZATION,smrt_smrt_01110
Downtown MRT,SMRT,ORGANIZATION,smrt_smrt_00706
EWL,Employers,ORGANIZATION,smrt_smrt_00147
EWL,Joo Koon,PERSON,smrt_smrt_00306
EWL,Khaw Boon Wan,PERSON,smrt_smrt_01003
EWL,LTA,ORGANIZATION,smrt_smrt_00506|smrt_smrt_00976
EWL,Land Transport Authority,ORGANIZATION,smrt_smrt_00506
EWL,Masagos,PERSON,smrt_smrt_00677
EWL,NSFs,PERSON,smrt_smrt_01252
EWL,NSL,ORGANIZATION,smrt_smrt_00301|smrt_smrt_00323|smrt_smrt_00326|smrt_smrt_00506
EWL,Outram Park MRT,ORGANIZATION,smrt_smrt_01438
EWL,PSLE,ORGANIZATION,smrt_smrt_00813
EWL,Parliament,ORGANIZATION,smrt_smrt_00888
EWL,Patrick Nathan,PERSON,smrt_smrt_00907
EWL,Pls,PERSON,smrt_smrt_00018
EWL,SMRT,ORGANIZATION,smrt_smrt_00018|smrt_smrt_00147|smrt_smrt_00236|smrt_smrt_00301|smrt_smrt_00306|smrt_smrt_00318|smrt_smrt_00323|smrt_smrt_00326|smrt_smrt_00349|smrt_smrt_00367|smrt_smrt_00446|smrt_smrt_00497|smrt_smrt_00506|smrt_smrt_00612|smrt_smrt_00677|smrt_smrt_00681|smrt_smrt_00790|smrt_smrt_00813|smrt_smrt_00880|smrt_smrt_00888|smrt_smrt_00907|smrt_smrt_00976|smrt_smrt_01038|smrt_smrt_01105|smrt_smrt_01198|smrt_smrt_01214|smrt_smrt_01252|smrt_smrt_01308|smrt_smrt_01400|smrt_smrt_01413
EWL,TWE,ORGANIZATION,smrt_smrt_00506
EWL,Tanah Merah,PERSON,smrt_smrt_00808|smrt_smrt_00813
EWL,Thales,ORGANIZATION,smrt_smrt_00506|smrt_smrt_01003
EWL,The Straits Times,ORGANIZATION,smrt_smrt_00301|smrt_smrt_00323|smrt_smrt_01438
EWL,Uma Venkatraman,PERSON,smrt_smrt_00318
East-West MRT,North-South,ORGANIZATION,smrt_smrt_00029
East-West MRT,SMRT,ORGANIZATION,smrt_smrt_00001|smrt_smrt_00029
Elaine Koh,SMRT,PERSON,smrt_smrt_01303
Employers,SMRT,ORGANIZATION,smrt_smrt_00147
Enovation Industries Pte Ltd,Enovation Technologies Pte Ltd,ORGANIZATION,smrt_smrt_01098
Enovation Industries Pte Ltd,Jamalludin Bin Jumari,PERSON,smrt_smrt_01098
Enovation Industries Pte Ltd,SMRT,ORGANIZATION,smrt_smrt_01098
Enovation Industries Pte Ltd,Zakaria Bin Mohamed Shariff,PERSON,smrt_smrt_01098
Enovation Industries Pte Ltd,Zulkifli Bin Marwi,PERSON,smrt_smrt_01098
Enovation Technologies Pte Ltd,Jamalludin Bin Jumari,PERSON,smrt_smrt_01098
Enovation Technologies Pte Ltd,SMRT,ORGANIZATION,smrt_smrt_01098
Enovation Technologies Pte Ltd,Zakaria Bin Mohamed Shariff,PERSON,smrt_smrt_01098
Enovation Technologies Pte Ltd,Zulkifli Bin Marwi,PERSON,smrt_smrt_01098
F1,McLaren,ORGANIZATION,smrt_smrt_01422
F1,McLaren Applied Technologies,ORGANIZATION,smrt_smrt_01409|smrt_smrt_01422
F1,McLaren Group,ORGANIZATION,smrt_smrt_01422
F1,McLaren Racing,ORGANIZATION,smrt_smrt_01422
F1,SMRT,ORGANIZATION,smrt_smrt_01409|smrt_smrt_01422
Frederic Bernaud,Gazprom Marketing and Trading,PERSON,smrt_smrt_01101
Frederic Bernaud,Pavilion Energy,PERSON,smrt_smrt_01101
Frederic Bernaud,SMRT,PERSON,smrt_smrt_01101
Frederic Bernaud,Seah Moon Ming,PERSON,smrt_smrt_01101
Frederic Bernaud,THE BUSINESS TIMES,PERSON,smrt_smrt_01101
Frederic Bernaud,Temasek Holdings,PERSON,smrt_smrt_01101
Gazprom Marketing and Trading,Pavilion Energy,ORGANIZATION,smrt_smrt_01101
Gazprom Marketing and Trading,SMRT,ORGANIZATION,smrt_smrt_01101
Gazprom Marketing and Trading,Seah Moon Ming,PERSON,smrt_smrt_01101
Gazprom Marketing and Trading,THE BUSINESS TIMES,ORGANIZATION,smrt_smrt_01101
Gazprom Marketing and Trading,Temasek Holdings,ORGANIZATION,smrt_smrt_01101
Government,HDB,ORGANIZATION,smrt_smrt_01160
Government,SMRT,ORGANIZATION,smrt_smrt_01160
HDB,SMRT,ORGANIZATION,smrt_smrt_01160
Hamid,Madam Maria Elena,PERSON,smrt_smrt_00002
Hamid,Mohamad Nazaruddin,PERSON,smrt_smrt_00002
