level_0,index,topic_id,article_id,date,title,full_title,media,language,topic_score,article_score,href,thumbnail,abstract,text,sentiment_score,sentiment_magnitude,topic_sentiment_score,organization,person,topic_title
10,373,38,hdb_00801,2017-09-06,HDB resale volume rises 9.6% mom in August; prices inch up 0.1%: SRX,HDB resale volume rises 9.6% mom in August; prices inch up 0.1%: SRX,THE BUSINESS TIMES,en,0.9573950651721176,0.6894586894586894,https://www.businesstimes.com.sg/real-estate/hdb-resale-volume-rises-96-m-o-m-in-august-prices-inch-up-01-srx,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgyyWv1IcxfLork9an2aq6fBusdccdH-rfgxTnczP_mQakiZmtzSy8NN98zwZpwdn8kJM8qjHM,SRX Property's flash estimate for August 2017 also showed that its overall resale price index for HDB flats rose 0.1 per cent month on month. This followed a 0.6 ...,HDB resale volume rises 9.6% mom in August; prices inch up 0.1%: SRX. SRX Property's flash estimate for August 2017 also showed that its overall resale price index for HDB flats rose 0.1 per cent month on month. This followed a 0.6 ...,0.10000000149011612,0.5,-0.034161491516213977,HDB,,More than 4300 new flats launched in first HDB sales exercise of 2018
11,405,38,hdb_01201,2018-01-01,HDB resale flat prices drop 1.5% in 2017 after 0.2% dip in Q4: Flash data,HDB resale flat prices drop 1.5% in 2017 after 0.2% dip in Q4: Flash data,The Straits Times,en,0.9573950651721176,0.6894586894586894,https://www.straitstimes.com/business/property/hdb-resale-flat-prices-drop-15-in-2017-after-02-dip-in-q4-flash-data,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0QLn-soLE4o0TfrThefDwCLfwipAwRsvhYEGqoreiPZ5kINfvcqjlknGGM9zB7mJ3JZz2CcTP,"SINGAPORE - HDB resale prices edged down 0.2 per cent in the final quarter of ... As announced last month, HDB said the total BTO flat supply for 2018 will be ... of developments in 2017 that have likely impacted demand for HDB resale flats, ...","HDB resale flat prices drop 1.5% in 2017 after 0.2% dip in Q4: Flash data. SINGAPORE - HDB resale prices edged down 0.2 per cent in the final quarter of ... As announced last month, HDB said the total BTO flat supply for 2018 will be ... of developments in 2017 that have likely impacted demand for HDB resale flats, ...",0.0,0.10000000149011612,-0.034161491516213977,HDB|BTO,,More than 4300 new flats launched in first HDB sales exercise of 2018
12,430,38,condo_00002,2017-02-14,"Singapore condo rents rise 1.3%, HDB flat rents ease 0.6% in January","Singapore condo rents rise 1.3%, HDB flat rents ease 0.6% in January",THE BUSINESS TIMES,en,0.9573950651721176,0.6894586894586894,https://www.businesstimes.com.sg/real-estate/singapore-condo-rents-rise-13-hdb-flat-rents-ease-06-in-january,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmrOYCwPov8HqynkUGg6qpuADfL8Uh08mHcMxaoaEioCpy1TK2ZYYfUjOFPd0p9CTOvMMKnMbM,"RENTALS for non-landed private homes in Singapore rose in January 2017 over December 2016 amid an increase in leasing volume, while rents and leasing ...","Singapore condo rents rise 1.3%, HDB flat rents ease 0.6% in January. RENTALS for non-landed private homes in Singapore rose in January 2017 over December 2016 amid an increase in leasing volume, while rents and leasing ...",0.20000000298023224,0.5,-0.034161491516213977,HDB,,More than 4300 new flats launched in first HDB sales exercise of 2018
13,432,38,condo_00071,2017-04-11,"Singapore private-home and condo rents slip 1%, HDB flat rents down ...",singapore private home and condo rents slip 1 hdb flat rents down 05 in march amended,THE BUSINESS TIMES,en,0.9573950651721176,0.6894586894586894,https://www.businesstimes.com.sg/real-estate/singapore-private-home-and-condo-rents-slip-1-hdb-flat-rents-down-05-in-march-amended,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHWj0djx0g4BZaG0DxeiQkwwowOgLD6db3ZOTyZ3AVn07LudqEEXmkcB3yvRObizQoI5mkDibs,"RENTALS for non-landed private homes and HDB (Housing & Development Board) flats eased in March 2017 over the previous month, show the latest flash ...","singapore private home and condo rents slip 1 hdb flat rents down 05 in march amended. RENTALS for non-landed private homes and HDB (Housing & Development Board) flats eased in March 2017 over the previous month, show the latest flash ...",0.10000000149011612,0.699999988079071,-0.034161491516213977,HDB,,More than 4300 new flats launched in first HDB sales exercise of 2018
14,434,38,condo_00075,2017-05-08,Singapore condo resale prices unchanged in April: SRX Property,Singapore condo resale prices unchanged in April: SRX Property,THE BUSINESS TIMES,en,0.9573950651721176,0.6894586894586894,https://www.businesstimes.com.sg/real-estate/singapore-condo-resale-prices-unchanged-in-april-srx-property,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNZsHvM1RQgXBoEX0YxT0jBOmWWXegIF1bZqe144CIOceghMTwM2hYyyG7C1kTW-3Bg6hbLzN0,"RESALE prices of non-landed private homes in Singapore were flat in April compared to March 2017, flash estimates from SRX Property show. This came amid ...","Singapore condo resale prices unchanged in April: SRX Property. RESALE prices of non-landed private homes in Singapore were flat in April compared to March 2017, flash estimates from SRX Property show. This came amid ...",0.10000000149011612,0.30000001192092896,-0.034161491516213977,SRX Property,,More than 4300 new flats launched in first HDB sales exercise of 2018
15,435,38,condo_00112,2017-06-13,Condo rents fall 0.8% in May but HDB rents rise 0.7%: SRX Property,Condo rents fall 0.8% in May but HDB rents rise 0.7%: SRX Property,The Straits Times,en,0.9573950651721176,0.6894586894586894,https://www.straitstimes.com/business/property/condo-rents-fall-08-in-may-but-hdb-rents-rise-07-srx-property,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQFus_WW_lj3VNT2_Uj6G3pddP4wIR55uD2EoDgZB3i1WUkNOiJMIvIYP8hvSzK7WyCNu3jMVR,"SINGAPORE - It was a mixed picture for Singapore's property rental market in May, with condominium rents resuming their decline while HDB rents rose for a ...","Condo rents fall 0.8% in May but HDB rents rise 0.7%: SRX Property. SINGAPORE - It was a mixed picture for Singapore's property rental market in May, with condominium rents resuming their decline while HDB rents rose for a ...",-0.20000000298023224,0.5,-0.034161491516213977,HDB,,More than 4300 new flats launched in first HDB sales exercise of 2018
16,438,38,condo_00153,2017-07-10,Condo resale prices rise 0.9% in June to 3-year high: SRX Property,Condo resale prices rise 0.9% in June to 3-year high: SRX Property,The Straits Times,en,0.9573950651721176,0.6894586894586894,https://www.straitstimes.com/business/property/condo-resale-prices-rise-09-in-june-amid-fall-in-sales-volume-srx-property,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxqpDmHBBW9d0mKCnIJiub6HODztz0Wc23n47B8BScp61WtUEIbTg3N2J03KHjBt0EGPquQfHe,"SINGAPORE - Resale prices of non-landed private homes in Singapore rose by 0.9 per cent month-on-month in June to a three-year high, according to flash ...","Condo resale prices rise 0.9% in June to 3-year high: SRX Property. SINGAPORE - Resale prices of non-landed private homes in Singapore rose by 0.9 per cent month-on-month in June to a three-year high, according to flash ...",0.10000000149011612,0.20000000298023224,-0.034161491516213977,,,More than 4300 new flats launched in first HDB sales exercise of 2018
17,439,38,condo_00160,2017-08-28,"Completed condo prices up 0.5% in July, NUS index","Completed condo prices up 0.5% in July, NUS index",PropertyGuru Singapore,en,0.9573950651721176,0.6894586894586894,https://www.propertyguru.com.sg/property-management-news/2017/8/159392/completed-condo-prices-up-0-5-in-july-nus-index,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfMsb7ly7f2BZqib9VJ_pFP9QdYAE7m1P9ubnaUX1IiHuyAcQowKecF-fpOCjoR83KtjUsnZ8,"Prices of completed condominiums and apartments in Singapore continued to grow in July at 0.5 percent, according to latest flash estimates of the NUS ...","Completed condo prices up 0.5% in July, NUS index. Prices of completed condominiums and apartments in Singapore continued to grow in July at 0.5 percent, according to latest flash estimates of the NUS ...",0.20000000298023224,0.4000000059604645,-0.034161491516213977,NUS,,More than 4300 new flats launched in first HDB sales exercise of 2018
18,449,38,condo_00212,2017-10-30,Resale condo prices up 0.1% in September,Resale condo prices up 0.1% in September,PropertyGuru Singapore,en,0.9573950651721176,0.6894586894586894,https://www.propertyguru.com.sg/property-management-news/2017/10/163736/resale-condo-prices-up-0-1-in-september,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRq5bwWIhXDNogWsUjyv05JKvZSlnUTHvMCGbvsW_ArJwAaWXHwhfH2au0vBcqc4lwKV57Gppoa,"Prices of completed non-landed private homes rose slightly by 0.1 percent in September, following a revised 0.9 percent hike during the previous month, ...","Resale condo prices up 0.1% in September. Prices of completed non-landed private homes rose slightly by 0.1 percent in September, following a revised 0.9 percent hike during the previous month, ...",-0.10000000149011612,0.30000001192092896,-0.034161491516213977,,,More than 4300 new flats launched in first HDB sales exercise of 2018
19,464,38,condo_00285,2017-11-27,Singapore's completed condo prices up 0.6% in October from ...,singapores completed condo prices up 06 in october from september nus,The Business Times,en,0.9573950651721176,0.6894586894586894,https://www.businesstimes.com.sg/real-estate/singapores-completed-condo-prices-up-06-in-october-from-september-nus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4-W0nUBM1zPyTplcMAENP-ZbwOtzTX2_3y0RC1VbU1S-crFGlZ9M3CmQKieTf0v9_E7y-0TeB,PRICES of completed private apartments and condos in Singapore rose 0.6 per cent in October compared to the previous month. This is according to the ...,singapores completed condo prices up 06 in october from september nus. PRICES of completed private apartments and condos in Singapore rose 0.6 per cent in October compared to the previous month. This is according to the ...,0.0,0.4000000059604645,-0.034161491516213977,,,More than 4300 new flats launched in first HDB sales exercise of 2018
