source,target,link_type,article_id
DBS,NRIC,ORGANIZATION,ocbc_00715
DBS,National Australia Bank,ORGANIZATION,ocbc_00519
DBS,Nets,ORGANIZATION,ocbc_00692
DBS,OCBC,ORGANIZATION,ocbc_00014|ocbc_00102|ocbc_00106|ocbc_00118|ocbc_00250|ocbc_00519|ocbc_00646|ocbc_00692|ocbc_00715|ocbc_00800|ocbc_01026|ocbc_01107|ocbc_01204
DBS,POSB,ORGANIZATION,ocbc_00118
DBS,Passengers,PERSON,ocbc_00646
DBS,PayNow,ORGANIZATION,ocbc_00715
DBS,UOB,ORGANIZATION,ocbc_00014|ocbc_00102|ocbc_00106|ocbc_00118|ocbc_00250|ocbc_00692|ocbc_00800|ocbc_01026|ocbc_01204
EGM,OCBC,ORGANIZATION,ocbc_01344
EGM,Oxley,PERSON,ocbc_01344
EGM,UE,ORGANIZATION,ocbc_01344
EGM,WBL,ORGANIZATION,ocbc_01344
EGM,YPI,ORGANIZATION,ocbc_01344
EGM,Yanlord,ORGANIZATION,ocbc_01344
Ee Meng Yen Angela,Ernst & Young Solutions LLP,PERSON,ocbc_00813
Ee Meng Yen Angela,OCBC,PERSON,ocbc_00813
Ee Meng Yen Angela,TT International,PERSON,ocbc_00813
Ernst & Young Solutions,OCBC,ORGANIZATION,ocbc_00841
Ernst & Young Solutions,TT International,ORGANIZATION,ocbc_00841
Ernst & Young Solutions LLP,OCBC,ORGANIZATION,ocbc_00813
Ernst & Young Solutions LLP,TT International,ORGANIZATION,ocbc_00813
Foo Sze Ming,OCBC,PERSON,ocbc_01145
Foo Sze Ming,Smartkarma,PERSON,ocbc_01145
Foo Sze Ming,UE,PERSON,ocbc_01145
Foo Sze Ming,WBL,PERSON,ocbc_01145
Foo Sze Ming,Yanlord,PERSON,ocbc_01145
Foo Sze Ming,Yanlord Perennial,PERSON,ocbc_01145
Funders,OCBC,PERSON,ocbc_01347
Funders,UOB,PERSON,ocbc_01347
GEH,Great Eastern,ORGANIZATION,ocbc_00804
GEH,OCBC,ORGANIZATION,ocbc_00804|ocbc_01413
GEH,RHB,ORGANIZATION,ocbc_00804
GELM,OCBC,ORGANIZATION,ocbc_01409
GELM,UOB,ORGANIZATION,ocbc_01409
Global Brand Valuation,OCBC,ORGANIZATION,ocbc_00106
Global Brand Valuation,UOB,ORGANIZATION,ocbc_00106
Global Finance,OCBC,ORGANIZATION,ocbc_00800
Global Finance,UOB,ORGANIZATION,ocbc_00800
Great Eastern,KKR,ORGANIZATION,ocbc_00124
Great Eastern,Lee,PERSON,ocbc_00004|ocbc_00025|ocbc_00124|ocbc_00425
Great Eastern,Lees,PERSON,ocbc_00520
Great Eastern,OCBC,ORGANIZATION,ocbc_00000|ocbc_00004|ocbc_00025|ocbc_00124|ocbc_00425|ocbc_00505|ocbc_00506|ocbc_00518|ocbc_00520|ocbc_00609|ocbc_00804|ocbc_01100
Great Eastern,Perennial,ORGANIZATION,ocbc_00518
Great Eastern,RHB,ORGANIZATION,ocbc_00804
Great Eastern,Representatives,PERSON,ocbc_00025
Great Eastern,Samling,ORGANIZATION,ocbc_00124
Great Eastern,UE,ORGANIZATION,ocbc_00506|ocbc_00520|ocbc_00609|ocbc_01100
Great Eastern,UEL,ORGANIZATION,ocbc_00004
Great Eastern,WBL,ORGANIZATION,ocbc_00505|ocbc_00520|ocbc_01100
Great Eastern,WBL Corp,ORGANIZATION,ocbc_00506|ocbc_00609
Great Eastern,WBL Corporation,ORGANIZATION,ocbc_00000|ocbc_00505
Great Eastern,YPI,ORGANIZATION,ocbc_01100
Great Eastern,Yanlord Land,ORGANIZATION,ocbc_01100
Indians,OCBC,PERSON,ocbc_01102|ocbc_01118
KKR,Lee,PERSON,ocbc_00124
KKR,OCBC,ORGANIZATION,ocbc_00124
KKR,Samling,ORGANIZATION,ocbc_00124
Komaresan Subramanian,Moody,PERSON,ocbc_01026
Komaresan Subramanian,OCBC,PERSON,ocbc_01026
Komaresan Subramanian,UOB,PERSON,ocbc_01026
Lee,OCBC,PERSON,ocbc_00004|ocbc_00025|ocbc_00124|ocbc_00425
Lee,Representatives,PERSON,ocbc_00025
Lee,Samling,PERSON,ocbc_00124
Lee,UEL,PERSON,ocbc_00004
