source,target,link_type,weight
Keppel Corp,Singapore Exchange,ORGANIZATION,2
EIG,Keppel Corp,ORGANIZATION,2
Keppel Corp,Sembcorp Marine,ORGANIZATION,2
Keppel Corp,Sete Brasil,PERSON,2
