source,target,link_type,article_id
Aviva,Axa,ORGANIZATION,great_eastern_00268
Aviva,BT,ORGANIZATION,great_eastern_01099
Aviva,Government,ORGANIZATION,great_eastern_00526|great_eastern_01211
Aviva,Great Eastern,ORGANIZATION,great_eastern_00005|great_eastern_00078|great_eastern_00526|great_eastern_00710|great_eastern_01099|great_eastern_01100|great_eastern_01211
Aviva,IP insurers,ORGANIZATION,great_eastern_00710
Aviva,IP providers,ORGANIZATION,great_eastern_00268
Aviva,IPs,ORGANIZATION,great_eastern_00710
Aviva,NTUC Income,ORGANIZATION,great_eastern_00005|great_eastern_00078|great_eastern_00268|great_eastern_01099|great_eastern_01100|great_eastern_01211
Aviva,Panel,ORGANIZATION,great_eastern_01100
Aviva,Prudential,ORGANIZATION,great_eastern_00078|great_eastern_00268|great_eastern_00710|great_eastern_01099
Aviva,Singaporeans,PERSON,great_eastern_00526|great_eastern_01100
Aviva,Someone,PERSON,great_eastern_00005
Axa,IP providers,ORGANIZATION,great_eastern_00268
Axa,NTUC Income,ORGANIZATION,great_eastern_00268
Axa,Prudential,ORGANIZATION,great_eastern_00268
BNM,GEH,ORGANIZATION,great_eastern_00700
BNM,Great Eastern,ORGANIZATION,great_eastern_00700
BNM,OCBC,ORGANIZATION,great_eastern_00700
BNM,RHB,ORGANIZATION,great_eastern_00700
BT,Great Eastern,ORGANIZATION,great_eastern_01099
BT,NTUC Income,ORGANIZATION,great_eastern_01099
BT,Prudential,ORGANIZATION,great_eastern_01099
Bank of Singapore,Great Eastern,ORGANIZATION,great_eastern_01316|great_eastern_01317|great_eastern_01318
Bank of Singapore,Lion Global Investors,ORGANIZATION,great_eastern_01316|great_eastern_01317|great_eastern_01318
Bank of Singapore,OCBC,ORGANIZATION,great_eastern_01316|great_eastern_01317|great_eastern_01318
Bank of Singapore National Australia Bank,Great Eastern,ORGANIZATION,great_eastern_00933
Bank of Singapore National Australia Bank,MEPS,ORGANIZATION,great_eastern_00933
Bank of Singapore National Australia Bank,Wing Hang Bank,ORGANIZATION,great_eastern_00933
Bloomberg,OCBC,ORGANIZATION,great_eastern_00085
CROWD,Great Eastern,PERSON,great_eastern_00004
CROWD,OCBC,PERSON,great_eastern_00004
CROWD,United Engineers,PERSON,great_eastern_00004
Cheetahs,Great Eastern,ORGANIZATION,great_eastern_00819
Cheetahs,Hougang United,ORGANIZATION,great_eastern_00819
Cheetahs,Hyundai,ORGANIZATION,great_eastern_00819
Cheetahs,S.League,ORGANIZATION,great_eastern_00819
Chew,Great Eastern,PERSON,great_eastern_00550
Chew,Singapore Exchange,PERSON,great_eastern_00550
Chng,Chong Yonghui,PERSON,great_eastern_01007
Chng,DPP,ORGANIZATION,great_eastern_01007
Chng,Great Eastern,ORGANIZATION,great_eastern_01007
Chng Kunda,Great Eastern,PERSON,great_eastern_01004
Chng Kunda,OCBC,PERSON,great_eastern_01004
Chong Yonghui,DPP,PERSON,great_eastern_01007
Chong Yonghui,Great Eastern,PERSON,great_eastern_01007
Credit Suisse,Great Eastern,ORGANIZATION,great_eastern_00000|great_eastern_00075
Credit Suisse,KKR,ORGANIZATION,great_eastern_00075
Credit Suisse,OCBC,ORGANIZATION,great_eastern_00000|great_eastern_00002|great_eastern_00075|great_eastern_00082
Credit Suisse,UEL,ORGANIZATION,great_eastern_00002|great_eastern_00082
Credit Suisse,WBL,ORGANIZATION,great_eastern_00002
Credit Suisse,WBL Corporation,ORGANIZATION,great_eastern_00000
DBS,GEH,ORGANIZATION,great_eastern_01097
DBS,Hiew Yoon Khong,PERSON,great_eastern_00167
DBS,MGSA P-Trust,ORGANIZATION,great_eastern_00167
DBS,Mapletree,PERSON,great_eastern_00167
DBS,Prudential,ORGANIZATION,great_eastern_01097
DBS,The Business Times,ORGANIZATION,great_eastern_00167
DBS,Tokio Marine Insurance,ORGANIZATION,great_eastern_01097
DBS,UBS AG,ORGANIZATION,great_eastern_00167
DPP,Great Eastern,ORGANIZATION,great_eastern_01007
Duke,Harry,PERSON,great_eastern_00279
Few,Great Eastern,PERSON,great_eastern_00537
Few,Hougang,PERSON,great_eastern_00537
Few,Hougang United,PERSON,great_eastern_00537
Few,Hyundai,PERSON,great_eastern_00537
Few,Philippe Aw,PERSON,great_eastern_00537
Few,S. League,PERSON,great_eastern_00537
Football Association of Singapore,Great Eastern,ORGANIZATION,great_eastern_00072
Football Association of Singapore,Hyundai,ORGANIZATION,great_eastern_00072
Football Association of Singapore,S.League,ORGANIZATION,great_eastern_00072
Fun Run,GEWR,ORGANIZATION,great_eastern_00705
Fun Run,Participants,PERSON,great_eastern_00705
GAVIN FOO,Madhu Mohana,PERSON,great_eastern_00069
GAVIN FOO,Referee Sukhbir Singh,PERSON,great_eastern_00069
GAVIN FOO,S.League,PERSON,great_eastern_00069
GAVIN FOO,Sparks,PERSON,great_eastern_00069
GAVIN FOO,TNP,PERSON,great_eastern_00069
GAVIN FOO,Tampines Rovers,PERSON,great_eastern_00069
GEG,Great Eastern,ORGANIZATION,great_eastern_00515
GEG,Overseas Assurance Corporation,ORGANIZATION,great_eastern_00515
GEH,Great Eastern,ORGANIZATION,great_eastern_00700
GEH,OCBC,ORGANIZATION,great_eastern_00700|great_eastern_01299
GEH,Prudential,ORGANIZATION,great_eastern_01097
GEH,RHB,ORGANIZATION,great_eastern_00700
GEH,Tokio Marine Insurance,ORGANIZATION,great_eastern_01097
GELM,OCBC,ORGANIZATION,great_eastern_01298
GELM,UOB,ORGANIZATION,great_eastern_01298
GEWR,Great Eastern,ORGANIZATION,great_eastern_00616
GEWR,Jin Mingming,PERSON,great_eastern_00901
GEWR,Participants,PERSON,great_eastern_00705
Global,Global Cebu,ORGANIZATION,great_eastern_00912
Global,Great Eastern,ORGANIZATION,great_eastern_00912|great_eastern_00917
Global,Hyundai,ORGANIZATION,great_eastern_00912|great_eastern_00917
Global,S.League,ORGANIZATION,great_eastern_00912|great_eastern_00917
Global Cebu,Great Eastern,ORGANIZATION,great_eastern_00912
Global Cebu,Hyundai,ORGANIZATION,great_eastern_00912
Global Cebu,S.League,ORGANIZATION,great_eastern_00912
Goh,JASMINE GOH,PERSON,great_eastern_00519
Government,Great Eastern,ORGANIZATION,great_eastern_00526|great_eastern_01211
Government,NTUC Income,ORGANIZATION,great_eastern_01211
Government,Singaporeans,PERSON,great_eastern_00526
Great Eastern,Holders,PERSON,great_eastern_00264
Great Eastern,Home,ORGANIZATION,great_eastern_00529|great_eastern_00542
Great Eastern,Home United,ORGANIZATION,great_eastern_00272|great_eastern_00529|great_eastern_00728
Great Eastern,Hougang,ORGANIZATION,great_eastern_00272|great_eastern_00537|great_eastern_00542
Great Eastern,Hougang United,ORGANIZATION,great_eastern_00272|great_eastern_00529|great_eastern_00537|great_eastern_00819
Great Eastern,Hyundai,ORGANIZATION,great_eastern_00072|great_eastern_00176|great_eastern_00272|great_eastern_00529|great_eastern_00537|great_eastern_00542|great_eastern_00728|great_eastern_00819|great_eastern_00912|great_eastern_00917
Great Eastern,IP insurers,ORGANIZATION,great_eastern_00710
Great Eastern,IP policyholders,PERSON,great_eastern_00521
Great Eastern,IPs,ORGANIZATION,great_eastern_00163|great_eastern_00710
Great Eastern,KKR,ORGANIZATION,great_eastern_00075
Great Eastern,Khoo Kah Siang,PERSON,great_eastern_00911
Great Eastern,Lim,PERSON,great_eastern_01002
Great Eastern,Lion Global Investors,ORGANIZATION,great_eastern_01316|great_eastern_01317|great_eastern_01318
Great Eastern,MEPS,ORGANIZATION,great_eastern_00933
Great Eastern,Madhu,PERSON,great_eastern_00176
Great Eastern,Manulife Singapore,ORGANIZATION,great_eastern_00911
Great Eastern,NTUC Income,ORGANIZATION,great_eastern_00005|great_eastern_00078|great_eastern_00163|great_eastern_01099|great_eastern_01100|great_eastern_01211
Great Eastern,Naveed Irshad,PERSON,great_eastern_00911
Great Eastern,OAC,ORGANIZATION,great_eastern_00345
Great Eastern,OCBC,ORGANIZATION,great_eastern_00000|great_eastern_00004|great_eastern_00075|great_eastern_00345|great_eastern_00428|great_eastern_00429|great_eastern_00431|great_eastern_00518|great_eastern_00698|great_eastern_00700|great_eastern_01000|great_eastern_01004|great_eastern_01316|great_eastern_01317|great_eastern_01318
Great Eastern,Overseas Assurance Corporation,ORGANIZATION,great_eastern_00515
Great Eastern,Panel,ORGANIZATION,great_eastern_01100
Great Eastern,Perennial,ORGANIZATION,great_eastern_00431
Great Eastern,Philippe Aw,PERSON,great_eastern_00272|great_eastern_00529|great_eastern_00537
Great Eastern,Philippe Aw.,PERSON,great_eastern_00542
Great Eastern,Prudential,ORGANIZATION,great_eastern_00078|great_eastern_00710|great_eastern_01099
Great Eastern,RHB,ORGANIZATION,great_eastern_00700
Great Eastern,S. League,ORGANIZATION,great_eastern_00529|great_eastern_00537
