name,year_month,sentiment_emb,year,month
Evia,2017-6,100.0,2017,6
GuocoLand,2017-9,100.0,2017,9
Fairview Developments Pte Ltd,2017-11,100.0,2017,11
GuocoLand,2017-11,100.0,2017,11
Retail,2017-11,100.0,2017,11
Tong Eng Group,2017-11,100.0,2017,11
WINNER,2017-11,100.0,2017,11
